Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C103, C109, C201, C202, C203, C204, C205, C206, C207, C208, C301, C302, C303, C304, C305, C306, C307, C308, C401, C402, C403, C404, C405, C406, C407, C408",0603,27,0.1u,
"C102, C106, C107, C108",0603,4,10u,
C104,1206,1,0.1u,
C105,CP_Radial_D10.0mm_P5.00mm,1,10u,
"D201, D202, D203, D204, D205, D206, D207, D301, D302, D303, D304, D305, D306, D307, D401, D402, D403, D404, D405, D406, D407",0603,21,LED,
"H101, H102, H103, H104",MountingHole_3.2mm_M3,4,MountingHole,
J101,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,1,Conn_01x02_Pin,
J102,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,
J103,PinSocket_1x07_P2.54mm_Vertical,1,Conn_01x07_Socket,
"J104, J105, J106",JST_VH_B8P-VH_1x08_P3.96mm_Vertical,3,Conn_01x08_Pin,
J107,BarrelJack_CUI_PJ-102AH_Horizontal,1,DC+5V,
J108,ZX62R-B-5P30,1,USB_B_Micro,
R101,0603,1,10k,
"R201, R204, R207, R210, R213, R216, R219, R222, R223, R224, R225, R226, R227, R228, R301, R304, R307, R310, R313, R316, R319, R322, R323, R324, R325, R326, R327, R328, R401, R404, R407, R410, R413, R416, R419, R422, R423, R424, R425, R426, R427, R428",0603,42,1.2k,
"R202, R205, R208, R211, R214, R217, R220, R302, R305, R308, R311, R314, R317, R320, R402, R405, R408, R411, R414, R417, R420",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,21,0.20,
"R203, R206, R209, R212, R215, R218, R221, R303, R306, R309, R312, R315, R318, R321, R403, R406, R409, R412, R415, R418, R421",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,21,0.47,
"SW101, SW102, SW103, SW104, SW105, SW106, SW107",SW_SPST_B3S-1000,7,SW_Push,
U101,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
U103,TO-92_Inline_Horizontal1,1,LM35-LP,
U104,SOT-223-3_TabPin2,1,LM1117DT-3.3,
"U201, U202, U203, U204, U205, U206, U207, U301, U302, U303, U304, U305, U306, U307, U401, U402, U403, U404, U405, U406, U407",DPAK127P968X238-6N,21,NJW4617DL3-TE1,
"U208, U308, U408",SOIC-16W_5.3x10.2mm_P1.27mm,3,74HC595,
