Designator,Mid X,Mid Y,Rotation,Layer
C101,146.685,-113.525,270.0,bottom
C102,148.59,-113.525,270.0,bottom
C103,128.3872,-60.3022,0.0,bottom
C104,146.05,-44.45,270.0,bottom
C105,154.94,-43.352323,270.0,top
C106,132.08,-160.68,0.0,bottom
C107,132.08,-148.615,180.0,bottom
C108,225.425,-160.655,90.0,bottom
C109,171.45,-104.775,90.0,bottom
C201,162.56,-49.53,0.0,bottom
C202,162.56,-64.77,0.0,bottom
C203,162.56,-80.01,0.0,bottom
C204,162.56,-95.25,0.0,bottom
C205,162.56,-110.49,0.0,bottom
C206,162.56,-125.73,0.0,bottom
C207,162.56,-140.97,0.0,bottom
C208,146.685,-154.94,90.0,bottom
C301,193.04,-49.53,0.0,bottom
C302,193.04,-64.77,0.0,bottom
C303,193.04,-80.01,0.0,bottom
C304,193.04,-95.25,0.0,bottom
C305,193.04,-110.49,0.0,bottom
C306,193.04,-125.73,0.0,bottom
C307,193.04,-140.97,0.0,bottom
C308,173.99,-152.4,0.0,bottom
C401,223.52,-49.53,0.0,bottom
C402,223.52,-64.77,0.0,bottom
C403,223.52,-80.01,0.0,bottom
C404,223.52,-95.25,0.0,bottom
C405,223.52,-110.49,0.0,bottom
C406,223.52,-125.73,0.0,bottom
C407,223.52,-140.97,0.0,bottom
C408,204.47,-152.4,0.0,bottom
D201,166.37,-52.07,180.0,top
D202,166.37,-67.31,180.0,top
D203,166.37,-82.55,180.0,top
D204,166.37,-97.79,180.0,top
D205,166.37,-113.03,180.0,top
D206,166.37,-128.27,180.0,top
D207,166.37,-143.51,180.0,top
D301,196.85,-52.07,180.0,top
D302,196.85,-67.31,180.0,top
D303,196.85,-82.55,180.0,top
D304,196.85,-97.79,180.0,top
D305,196.85,-113.03,180.0,top
D306,196.85,-128.27,180.0,top
D307,196.85,-143.51,180.0,top
D401,227.33,-52.07,180.0,top
D402,227.33,-67.31,180.0,top
D403,227.33,-82.55,180.0,top
D404,227.33,-97.79,180.0,top
D405,227.33,-113.03,180.0,top
D406,227.33,-128.27,180.0,top
D407,227.33,-143.51,180.0,top
J101,137.6475,-43.73,180.0,top
J102,232.37,-158.75,180.0,bottom
J103,124.6022,-57.7622,0.0,top
J104,179.07,-47.625,270.0,top
J105,209.55,-47.625,270.0,top
J106,240.03,-47.625,270.0,top
J107,138.81,-149.4,0.0,top
J108,123.443601,-147.609999,90.0,bottom
R101,139.7,-101.41,90.0,bottom
R201,161.29,-52.07,0.0,top
R202,168.91,-55.88,180.0,top
R203,158.75,-59.69,0.0,top
R204,161.29,-67.31,0.0,top
R205,168.91,-71.12,180.0,top
R206,158.75,-74.93,0.0,top
R207,161.29,-82.55,0.0,top
R208,168.91,-86.36,180.0,top
R209,158.75,-90.17,0.0,top
R210,161.29,-97.79,0.0,top
R211,168.91,-101.6,180.0,top
R212,158.75,-105.41,0.0,top
R213,161.29,-113.03,0.0,top
R214,168.91,-116.84,180.0,top
R215,158.75,-120.65,0.0,top
R216,161.29,-128.27,0.0,top
R217,168.91,-132.08,180.0,top
R218,158.75,-135.89,0.0,top
R219,161.29,-143.51,0.0,top
R220,168.91,-147.32,180.0,top
R221,158.75,-151.13,0.0,top
R222,158.75,-52.07,90.0,bottom
R223,158.75,-67.31,90.0,bottom
R224,158.75,-82.55,90.0,bottom
R225,158.75,-97.79,90.0,bottom
R226,158.75,-113.03,90.0,bottom
R227,158.75,-128.27,90.0,bottom
R228,158.75,-143.51,90.0,bottom
R301,191.77,-52.07,0.0,top
R302,199.39,-55.88,180.0,top
R303,189.23,-59.69,0.0,top
R304,191.77,-67.31,0.0,top
R305,199.39,-71.12,180.0,top
R306,189.23,-74.93,0.0,top
R307,191.77,-82.55,0.0,top
R308,199.39,-86.36,180.0,top
R309,189.23,-90.17,0.0,top
R310,191.77,-97.79,0.0,top
R311,199.39,-101.6,180.0,top
R312,189.23,-105.41,0.0,top
R313,191.77,-113.03,0.0,top
R314,199.39,-116.84,180.0,top
R315,189.23,-120.65,0.0,top
R316,191.77,-128.27,0.0,top
R317,199.39,-132.08,180.0,top
R318,189.23,-135.89,0.0,top
R319,191.77,-143.51,0.0,top
R320,199.39,-147.32,180.0,top
R321,189.23,-151.13,0.0,top
R322,189.23,-52.07,90.0,bottom
R323,189.23,-67.31,90.0,bottom
R324,189.23,-82.55,90.0,bottom
R325,189.23,-97.79,90.0,bottom
R326,189.23,-113.03,90.0,bottom
R327,189.23,-128.27,90.0,bottom
R328,189.23,-143.51,90.0,bottom
R401,222.25,-52.07,0.0,top
R402,229.87,-55.88,180.0,top
R403,219.71,-59.69,0.0,top
R404,222.25,-67.31,0.0,top
R405,229.87,-71.12,180.0,top
R406,219.71,-74.93,0.0,top
R407,222.25,-82.55,0.0,top
R408,229.87,-86.36,180.0,top
R409,219.71,-90.17,0.0,top
R410,222.25,-97.79,0.0,top
